months,parks
1,59
2,69
3,77
4,78
5,90
6,98
7,100
8,84
9,64
10,54
11,45
12,41
13,59
14,69
15,72
16,77
17,87
18,98
19,96
20,77
21,59
22,65
23,59
24,41
25,60
26,65
27,71
28,73
29,87
30,94
31,91
32,72
33,57
34,51
35,42
36,36
37,54
38,59
39,68
40,68
41,84
42,90
43,89
44,71
45,56
46,48
47,39
48,34
49,48
50,56
51,60
52,65
53,73
54,80
55,78
56,64
57,49
58,42
59,37
60,32
61,45
62,53
63,58
64,63
65,72
66,78
67,76
68,62
69,54
70,46
71,37
72,32
73,45
74,50
75,57
76,60
77,67
78,72
79,66
80,53
81,44
82,38
83,32
84,33
85,44
86,50
87,54
88,57
89,65
90,71
91,70
92,56
93,47
94,42
95,36
96,34
97,44
98,47
99,52
100,54
101,61
102,65
103,61
104,52
105,44
106,36
107,32
108,31
109,41
110,46
111,48
112,52
113,55
114,60
115,58
116,49
117,42
118,43
119,35
120,30
121,42
122,45
123,48
124,54
125,57
126,61
127,61
128,52
129,43
130,40
131,33
132,33
133,47
134,53
135,51
136,51
137,56
138,64
139,65
140,55
141,44
142,37
143,33
144,33
145,43
146,47
147,49
148,52
149,57
150,65
151,62
152,52
153,43
154,38
155,33
156,33
157,42
158,49
159,51
160,56
161,63
162,65
163,69
164,55
165,42
166,39
167,36
168,35
169,42
170,48
171,50
172,53
173,58
174,65
175,66
176,54
177,43
178,39
179,33
180,34
181,43
182,46
183,50
184,53
185,57
186,65
187,64
188,54
189,43
190,38
191,35
192,34
193,42
194,49
195,52
196,53
197,73
198,70
199,62
200,56
201,49
202,42
203,34