month,playstation
1,60
2,45
3,46
4,39
5,39
6,41
7,48
8,42
9,36
10,44
11,65
12,84
13,47
14,38
15,47
16,35
17,55
18,41
19,40
20,35
21,34
22,34
23,57
24,57
25,37
26,31
27,28
28,26
29,32
30,27
31,31
32,28
33,30
34,41
35,100
36,63
37,35
38,26
39,25
40,23
41,22
42,25
43,29
44,25
45,24
46,23
47,43
48,51
49,34
50,30
51,30
52,27
53,27
54,31
55,31
56,27
57,24
58,26
59,36
60,46
61,29
62,24
63,23
64,20
65,21
66,24
67,23
68,26
69,25
70,24
71,30
72,38
73,26
74,22
75,31
76,19
77,20
78,24
79,22
80,20
81,24
82,23
83,29
84,35
85,27
86,24
87,25
88,76
89,97
90,45
91,30
92,25
93,23
94,21
95,31
96,30
97,22
98,24
99,23
100,18
101,16
102,22
103,20
104,19
105,19
106,18
107,29
108,29
109,24
110,47
111,26
112,19
113,21
114,38
115,24
116,24
117,23
118,25
119,54
120,42
121,26
122,23
123,22
124,19
125,19
126,23
127,22
128,24
129,21
130,21
131,30
132,62
133,26
134,23
135,22
136,20
137,21
138,25
139,26
140,23
141,23
142,23
143,37
144,42
145,32
146,23
147,27
148,25
149,22
150,28
151,25
152,25
153,35
154,36
155,38
156,44
157,31
158,30
159,27
160,24
161,23
162,28
163,27
164,25
165,25
166,24
167,40
168,41
169,33
170,28
171,28
172,26
173,24
174,31
175,31
176,28
177,32
178,27
179,43
180,47
181,28
182,25
183,24
184,24
185,21
186,30
187,25
188,25
189,23
190,26
191,33
192,40
193,28
194,25
195,31
196,42
197,37
198,45
199,32
200,32
201,47
202,36
203,94