Date,Close
11/18/19,3122.030029
11/19/19,3120.179932
11/20/19,3108.459961
11/21/19,3103.540039
11/22/19,3110.290039
11/25/19,3133.639893
11/26/19,3140.52002
11/27/19,3153.629883
11/29/19,3140.97998
12/2/19,3113.870117
12/3/19,3093.199951
12/4/19,3112.76001
12/5/19,3117.429932
12/6/19,3145.909912
12/9/19,3135.959961
12/10/19,3132.52002
12/11/19,3141.629883
12/12/19,3168.570068
12/13/19,3168.800049
12/16/19,3191.449951
12/17/19,3192.52002
12/18/19,3191.139893
12/19/19,3205.370117
12/20/19,3221.219971
12/23/19,3224.01001
12/24/19,3223.379883
12/26/19,3239.909912
12/27/19,3240.02002
12/30/19,3221.290039
12/31/19,3230.780029
1/2/20,3257.850098
1/3/20,3234.850098
1/6/20,3246.280029
1/7/20,3237.179932
1/8/20,3253.050049
1/9/20,3274.699951
1/10/20,3265.350098
1/13/20,3288.129883
1/14/20,3283.149902
1/15/20,3289.290039
1/16/20,3316.810059
1/17/20,3329.620117
1/21/20,3320.790039
1/22/20,3321.75
1/23/20,3325.540039
1/24/20,3295.469971
1/27/20,3243.629883
1/28/20,3276.23999
1/29/20,3273.399902
1/30/20,3283.659912
1/31/20,3225.52002
2/3/20,3248.919922
2/4/20,3297.590088
2/5/20,3334.689941
2/6/20,3345.780029
2/7/20,3327.709961
2/10/20,3352.090088
2/11/20,3357.75
2/12/20,3379.449951
2/13/20,3373.939941
2/14/20,3380.159912
2/18/20,3370.290039
2/19/20,3386.149902
2/20/20,3373.22998
2/21/20,3337.75
2/24/20,3225.889893
2/25/20,3128.209961
2/26/20,3116.389893
2/27/20,2978.76001
2/28/20,2954.219971
3/2/20,3090.22998
3/3/20,3003.370117
3/4/20,3130.120117
3/5/20,3023.939941
3/6/20,2972.370117
3/9/20,2746.560059
3/10/20,2882.22998
3/11/20,2741.379883
3/12/20,2480.639893
3/13/20,2711.02002
3/16/20,2386.129883
3/17/20,2529.189941
3/18/20,2398.100098
3/19/20,2409.389893
3/20/20,2304.919922
3/23/20,2237.399902
3/24/20,2447.330078
3/25/20,2475.560059
3/26/20,2630.070068
3/27/20,2541.469971
3/30/20,2626.649902
3/31/20,2584.590088
4/1/20,2470.5
4/2/20,2526.899902
4/3/20,2488.649902
4/6/20,2663.679932
4/7/20,2659.409912
4/8/20,2749.97998
4/9/20,2789.820068
4/13/20,2761.629883
4/14/20,2846.060059
4/15/20,2783.360107
4/16/20,2799.550049
4/17/20,2874.560059
4/20/20,2823.159912
4/21/20,2736.560059
4/22/20,2799.310059
4/23/20,2797.800049
4/24/20,2836.73999
4/27/20,2878.47998
4/28/20,2863.389893
4/29/20,2939.51001
4/30/20,2912.429932
5/1/20,2830.709961
5/4/20,2842.73999
5/5/20,2868.439941
5/6/20,2848.419922
5/7/20,2881.189941
5/8/20,2929.800049
5/11/20,2930.189941
5/12/20,2870.120117
5/13/20,2820
5/14/20,2852.5
5/15/20,2863.699951
5/18/20,2953.909912
5/19/20,2922.939941
5/20/20,2971.610107
5/21/20,2948.51001
5/22/20,2955.449951
5/26/20,2991.77002
5/27/20,3036.129883
5/28/20,3029.72998
5/29/20,3044.310059
6/1/20,3055.72998
6/2/20,3080.820068
6/3/20,3122.870117
6/4/20,3112.350098
6/5/20,3193.929932
6/8/20,3232.389893
6/9/20,3207.179932
6/10/20,3190.139893
6/11/20,3002.100098
6/12/20,3041.310059
6/15/20,3066.590088
6/16/20,3124.73999
6/17/20,3113.48999
6/18/20,3115.340088
6/19/20,3097.73999
6/22/20,3117.860107
6/23/20,3131.290039
6/24/20,3050.330078
6/25/20,3083.76001
6/26/20,3009.050049
6/29/20,3053.23999
6/30/20,3100.290039
7/1/20,3115.860107
7/2/20,3130.01001
7/6/20,3179.719971
7/7/20,3145.320068
7/8/20,3169.939941
7/9/20,3152.050049
7/10/20,3185.040039
7/13/20,3155.219971
7/14/20,3197.52002
7/15/20,3226.560059
7/16/20,3215.570068
7/17/20,3224.72998
7/20/20,3251.840088
7/21/20,3257.300049
7/22/20,3276.02002
7/23/20,3235.659912
7/24/20,3215.629883
7/27/20,3239.409912
7/28/20,3218.439941
7/29/20,3258.439941
7/30/20,3246.219971
7/31/20,3271.120117
8/3/20,3294.610107
8/4/20,3306.51001
8/5/20,3327.77002
8/6/20,3349.159912
8/7/20,3351.280029
8/10/20,3360.469971
8/11/20,3333.689941
8/12/20,3380.350098
8/13/20,3373.429932
8/14/20,3372.850098
8/17/20,3381.98999
8/18/20,3389.780029
8/19/20,3374.850098
8/20/20,3385.51001
8/21/20,3397.159912
8/24/20,3431.280029
8/25/20,3443.620117
8/26/20,3478.72998
8/27/20,3484.550049
8/28/20,3508.01001
8/31/20,3500.310059
9/1/20,3526.649902
9/2/20,3580.840088
9/3/20,3455.060059
9/4/20,3426.959961
9/8/20,3331.840088
9/9/20,3398.959961
9/10/20,3339.189941
9/11/20,3340.969971
9/14/20,3383.540039
9/15/20,3401.199951
9/16/20,3385.48999
9/17/20,3357.01001
9/18/20,3319.469971
9/21/20,3281.060059
9/22/20,3315.570068
9/23/20,3236.919922
9/24/20,3246.590088
9/25/20,3298.459961
9/28/20,3351.600098
9/29/20,3335.469971
9/30/20,3363
10/1/20,3380.800049
10/2/20,3348.419922
10/5/20,3408.600098
10/6/20,3360.969971
10/7/20,3419.439941
10/8/20,3446.830078
10/9/20,3477.139893
10/12/20,3534.219971
10/13/20,3511.929932
10/14/20,3488.669922
10/15/20,3483.340088
10/16/20,3483.810059
10/19/20,3426.919922
10/20/20,3443.120117
10/21/20,3435.560059
10/22/20,3453.48999
10/23/20,3465.389893
10/26/20,3400.969971
10/27/20,3390.679932
10/28/20,3271.030029
10/29/20,3310.110107
10/30/20,3269.959961
11/2/20,3310.23999
11/3/20,3369.159912
11/4/20,3443.439941
11/5/20,3510.449951
11/6/20,3509.439941
11/9/20,3550.5
11/10/20,3545.530029
11/11/20,3572.659912
11/12/20,3537.01001
11/13/20,3585.149902
11/16/20,3626.909912